feature,importance
aa_motif,22.525788928313563
aa_right,15.445937236216558
aa_left,15.251107188970211
nt_motif,9.832612000009487
nt_right,8.520717445146758
nt_left,8.29364303591524
nt_center,4.23384195073489
combo,2.8262388537384227
aa_center,2.319105460578057
ss_paired_frac,2.2864672324267503
ss_motif,2.269180377681892
nt_gc,1.3641355563087711
aa_charge_mean,0.9874289404339485
nt_purine,0.8296997911642128
aa_entropy,0.7812809894816704
aa_hydro_mean,0.7313768857790548
aa_len,0.5525969618450252
aa_pos_frac,0.44416196942685565
nt_len,0.17179652233011214
aa_arom_frac,0.15681741948949773
nt_entropy,0.0914817574600253
nt_is_homopolymer,0.057459073436351385
aa_neg_frac,0.027124423112659984
